customer_id,total_sessions,total_orders,total_spend,average_order_value,cart_abandonment_rate,average_discount_used,customer_satisfaction,preferred_device,city,preferred_category,total_products_purchased,total_pages_viewed,average_time_on_site,total_review_votes,preferred_payment_method,rn,churn,recency,frequency,monetary,purchase_velocity,discount_dependency_score,return_behavior_score,R,F,M,RFM_Score,customer_segment,churn_risk_score,high_risk_customer
1000,2,1,1228.72,1228.72,0.5,17.5,3.5,1,204,7,7,35,1014.0,44,4,1,0,744.0,1,1228.72,0.3333333333333333,5.833333333333333,64.44087947505102,2,3,2,232,At Risk,49.0,0
1001,1,0,0.0,1399.0,0.0,0.0,4.0,0,101,3,4,15,996.0,0,4,2,0,762.0,0,0.0,0.0,0.0,50.0,2,1,1,211,Lost Customers,36.0,0
1002,3,0,0.0,1399.0,0.67,3.33,4.0,1,90,6,8,25,313.67,0,5,3,0,1444.33,0,0.0,0.0,0.0,83.5,5,1,1,511,Loyal Customers,62.8,1
1003,3,1,1681.96,1681.96,0.0,11.67,4.33,1,87,4,9,17,695.33,4,2,4,0,1062.67,1,1681.96,0.25,2.9175,40.703182966982006,4,3,2,432,Potential Loyalists,26.52,0
1004,3,0,0.0,1399.0,0.33,16.67,4.0,1,97,5,5,37,923.67,0,5,5,0,834.33,0,0.0,0.0,0.0,66.5,3,1,1,311,At Risk,49.2,0
1005,3,0,0.0,1399.0,0.67,15.0,4.0,1,86,4,12,42,312.33,0,4,6,0,1445.67,0,0.0,0.0,0.0,83.5,5,1,1,511,Loyal Customers,62.8,1
1006,2,0,0.0,1399.0,0.5,10.0,4.0,2,68,7,8,27,1145.0,0,4,7,0,613.0,0,0.0,0.0,0.0,75.0,2,1,1,211,Lost Customers,56.0,1
1007,1,0,0.0,1399.0,0.0,20.0,4.0,0,200,3,1,22,557.0,0,5,8,0,1201.0,0,0.0,0.0,0.0,50.0,5,1,1,511,Loyal Customers,36.0,0
1008,5,1,1546.42,1546.42,0.2,17.0,4.0,1,76,5,11,49,829.2,42,3,9,0,928.8,1,1546.42,0.16666666666666666,2.833333333333333,53.032042698478946,4,3,2,432,Potential Loyalists,39.0,0
1009,5,3,4616.63,1538.88,0.4,12.0,4.2,1,204,5,13,55,806.6,33,5,10,0,951.4,3,4616.63,0.5,6.0,49.13712162052495,4,5,3,453,Loyal Customers,35.8,0
1011,4,0,0.0,1399.0,0.5,5.0,4.0,1,36,7,14,43,894.25,0,5,11,0,863.75,0,0.0,0.0,0.0,75.0,3,1,1,311,At Risk,56.0,1
1012,3,0,0.0,1399.0,0.33,8.33,4.0,2,43,7,4,38,700.0,0,5,12,0,1058.0,0,0.0,0.0,0.0,66.5,4,1,1,411,Potential Loyalists,49.2,0
1013,2,0,0.0,1399.0,0.0,0.0,4.0,1,215,4,8,39,267.0,0,5,13,0,1491.0,0,0.0,0.0,0.0,50.0,5,1,1,511,Loyal Customers,36.0,0
1014,4,1,2423.92,2423.92,0.25,5.0,4.25,1,81,7,9,47,985.0,31,4,14,0,773.0,1,2423.92,0.2,1.0,53.10914603042107,3,3,3,333,Potential Loyalists,38.5,0
1015,1,0,0.0,1399.0,1.0,0.0,4.0,0,65,0,2,3,1405.0,0,0,15,0,353.0,0,0.0,0.0,0.0,100.0,1,1,1,111,Lost Customers,76.0,1
1016,1,0,0.0,1399.0,0.0,30.0,4.0,0,164,4,4,2,1523.0,0,1,16,0,235.0,0,0.0,0.0,0.0,50.0,1,1,1,111,Lost Customers,36.0,0
1017,2,0,0.0,1399.0,0.5,5.0,4.0,1,77,6,8,20,565.5,0,0,17,0,1192.5,0,0.0,0.0,0.0,75.0,5,1,1,511,Loyal Customers,56.0,1
1018,1,0,0.0,1399.0,1.0,15.0,4.0,2,15,7,1,22,875.0,0,0,18,0,883.0,0,0.0,0.0,0.0,100.0,3,1,1,311,At Risk,76.0,1
1019,1,0,0.0,1399.0,0.0,10.0,4.0,1,212,4,1,10,1096.0,0,4,19,0,662.0,0,0.0,0.0,0.0,50.0,2,1,1,211,Lost Customers,36.0,0
1020,4,0,0.0,1399.0,0.75,6.25,4.0,2,45,7,13,41,1165.25,0,4,20,0,592.75,0,0.0,0.0,0.0,87.5,2,1,1,211,Lost Customers,66.0,1
1021,5,0,0.0,1399.0,0.6,9.0,4.0,1,68,7,14,33,1136.8,0,5,21,0,621.2,0,0.0,0.0,0.0,80.0,2,1,1,211,Lost Customers,60.0,1
1022,1,0,0.0,1399.0,0.0,0.0,4.0,1,206,3,3,6,1751.0,0,5,22,0,7.0,0,0.0,0.0,0.0,50.0,1,1,1,111,Lost Customers,36.0,0
1023,2,0,0.0,1399.0,0.5,5.0,4.0,1,38,6,5,11,325.0,0,5,23,0,1433.0,0,0.0,0.0,0.0,75.0,5,1,1,511,Loyal Customers,56.0,1
1024,2,0,0.0,1399.0,0.0,0.0,4.0,1,27,4,4,21,774.0,0,2,24,0,984.0,0,0.0,0.0,0.0,50.0,4,1,1,411,Potential Loyalists,36.0,0
1025,2,0,0.0,1399.0,1.0,7.5,4.0,1,78,7,4,10,582.0,0,3,25,0,1176.0,0,0.0,0.0,0.0,100.0,5,1,1,511,Loyal Customers,76.0,1
