customer_id,total_sessions,total_orders,total_spend,average_order_value,cart_abandonment_rate,average_discount_used,customer_satisfaction,preferred_device,city,preferred_category,total_products_purchased,total_pages_viewed,average_time_on_site,total_review_votes,preferred_payment_method,rn,churn
1000,2,1,1228.72,1228.72,0.5,17.5,3.5,1,204,7,7,35,1014.0,44,4,1,0
1001,1,0,0.0,1399.0,0.0,0.0,4.0,0,101,3,4,15,996.0,0,4,2,0
1002,3,0,0.0,1399.0,0.67,3.33,4.0,1,90,6,8,25,313.67,0,5,3,0
1003,3,1,1681.96,1681.96,0.0,11.67,4.33,1,87,4,9,17,695.33,4,2,4,0
1004,3,0,0.0,1399.0,0.33,16.67,4.0,1,97,5,5,37,923.67,0,5,5,0
1005,3,0,0.0,1399.0,0.67,15.0,4.0,1,86,4,12,42,312.33,0,4,6,0
1006,2,0,0.0,1399.0,0.5,10.0,4.0,2,68,7,8,27,1145.0,0,4,7,0
1007,1,0,0.0,1399.0,0.0,20.0,4.0,0,200,3,1,22,557.0,0,5,8,0
1008,5,1,1546.42,1546.42,0.2,17.0,4.0,1,76,5,11,49,829.2,42,3,9,0
1009,5,3,4616.63,1538.88,0.4,12.0,4.2,1,204,5,13,55,806.6,33,5,10,0
1011,4,0,0.0,1399.0,0.5,5.0,4.0,1,36,7,14,43,894.25,0,5,11,0
1012,3,0,0.0,1399.0,0.33,8.33,4.0,2,43,7,4,38,700.0,0,5,12,0
1013,2,0,0.0,1399.0,0.0,0.0,4.0,1,215,4,8,39,267.0,0,5,13,0
1014,4,1,2423.92,2423.92,0.25,5.0,4.25,1,81,7,9,47,985.0,31,4,14,0
1015,1,0,0.0,1399.0,1.0,0.0,4.0,0,65,0,2,3,1405.0,0,0,15,0
1016,1,0,0.0,1399.0,0.0,30.0,4.0,0,164,4,4,2,1523.0,0,1,16,0
1017,2,0,0.0,1399.0,0.5,5.0,4.0,1,77,6,8,20,565.5,0,0,17,0
1018,1,0,0.0,1399.0,1.0,15.0,4.0,2,15,7,1,22,875.0,0,0,18,0
1019,1,0,0.0,1399.0,0.0,10.0,4.0,1,212,4,1,10,1096.0,0,4,19,0
1020,4,0,0.0,1399.0,0.75,6.25,4.0,2,45,7,13,41,1165.25,0,4,20,0
1021,5,0,0.0,1399.0,0.6,9.0,4.0,1,68,7,14,33,1136.8,0,5,21,0
1022,1,0,0.0,1399.0,0.0,0.0,4.0,1,206,3,3,6,1751.0,0,5,22,0
1023,2,0,0.0,1399.0,0.5,5.0,4.0,1,38,6,5,11,325.0,0,5,23,0
1024,2,0,0.0,1399.0,0.0,0.0,4.0,1,27,4,4,21,774.0,0,2,24,0
1025,2,0,0.0,1399.0,1.0,7.5,4.0,1,78,7,4,10,582.0,0,3,25,0
1026,3,1,244.3,244.3,0.67,5.0,4.0,0,218,6,6,49,603.0,19,4,26,0
1027,4,0,0.0,1399.0,0.0,3.75,4.0,1,27,7,11,57,1235.5,0,4,27,0
1028,5,1,2328.44,2328.44,0.6,5.0,4.0,2,84,6,15,57,956.6,43,5,28,0
1029,1,1,357.02,357.02,0.0,15.0,5.0,2,33,7,1,17,272.0,47,1,29,0
1030,3,0,0.0,1399.0,0.33,0.0,4.0,2,170,5,5,26,792.33,0,1,30,0
1031,4,2,2231.42,1115.71,0.5,16.25,4.25,1,159,6,11,77,1274.0,20,4,31,0
